GENUS;SPECIES;SPECNO;FULL_SPECIES;JAAR;BRON;HER_COOR;AMERSX;AMERSY;HOKX;X_Round;Y_Round;X_Y_COOR;check
Heriades;truncorum;734;Heriades_truncorum;2004;3;3;13;371;1;13;371;13371;0
Lasioglossum;sexstrigatum;695;Lasioglossum_sexstrigatum;2004;2;3;13;371;1;13;371;13371;0
Osmia;rufa;763;Osmia_rufa;2010;3;W;13,926;371,515;0,001;13;371;13371;0
Apis;mellifera;587;Apis_mellifera;2004;3;3;14;367;1;14;367;14367;0
Bombus;pascuorum;600;Bombus_pascuorum;2004;3;3;14;367;1;14;367;14367;0
Bombus;terrestris;608;Bombus_terrestris;2004;3;3;14;367;1;14;367;14367;0
Apis;mellifera;587;Apis_mellifera;2004;3;3;14;369;1;14;369;14369;0
Bombus;pascuorum;600;Bombus_pascuorum;2004;3;3;14;369;1;14;369;14369;0
Bombus;terrestris;608;Bombus_terrestris;2004;3;3;14;369;1;14;369;14369;0
Apis;mellifera;587;Apis_mellifera;2004;3;3;14;371;1;14;371;14371;0
Bombus;pascuorum;600;Bombus_pascuorum;2004;3;3;14;371;1;14;371;14371;0
Bombus;pratorum;602;Bombus_pratorum;2004;3;3;14;371;1;14;371;14371;0
Bombus;terrestris;608;Bombus_terrestris;2004;3;3;14;371;1;14;371;14371;0
Hylaeus;pictipes;640;Hylaeus_pictipes;2004;2;3;14;371;1;14;371;14371;0
Andrena;haemorrhoa;481;Andrena_haemorrhoa;2007;3;3;14;374;1;14;374;14374;0
Andrena;nitida;496;Andrena_nitida;2007;3;3;14;374;1;14;374;14374;0
Anthophora;plumipes;530;Anthophora_plumipes;2007;3;3;14;374;1;14;374;14374;0
Bombus;lapidarius;596;Bombus_lapidarius;2007;3;3;14;374;1;14;374;14374;0
Bombus;pascuorum;600;Bombus_pascuorum;2007;3;3;14;374;1;14;374;14374;0
Bombus;pratorum;602;Bombus_pratorum;2007;3;3;14;374;1;14;374;14374;0
Bombus;terrestris;608;Bombus_terrestris;2007;3;3;14;374;1;14;374;14374;0
Lasioglossum;calceatum;672;Lasioglossum_calceatum;2007;3;3;14;374;1;14;374;14374;0
Apis;mellifera;587;Apis_mellifera;2005;3;3;14;376;1;14;376;14376;0
Bombus;jonellus;595;Bombus_jonellus;2005;3;3;14;376;1;14;376;14376;0
Bombus;lapidarius;596;Bombus_lapidarius;2005;3;3;14;376;1;14;376;14376;0
Bombus;lucorum;597;Bombus_lucorum;2005;3;3;14;376;1;14;376;14376;0
Bombus;pascuorum;600;Bombus_pascuorum;2005;3;3;14;376;1;14;376;14376;0
Bombus;ruderarius;603;Bombus_ruderarius;2005;3;3;14;376;1;14;376;14376;0
Bombus;terrestris;608;Bombus_terrestris;2003;3;3;14;376;1;14;376;14376;0
Colletes;halophilus;620;Colletes_halophilus;2007;3;3;14;376;1;14;376;14376;0
Dasypoda;hirtipes;774;Dasypoda_hirtipes;2003;3;3;14;376;1;14;376;14376;0
Epeolus;tarsalis;538;Epeolus_tarsalis;2007;3;3;14;376;1;14;376;14376;0
Lasioglossum;calceatum;672;Lasioglossum_calceatum;2003;3;3;14;376;1;14;376;14376;0
Lasioglossum;morio;685;Lasioglossum_morio;2003;3;3;14;376;1;14;376;14376;0
Megachile;maritima;751;Megachile_maritima;2006;3;3;14;376;1;14;376;14376;0
Andrena;cineraria;462;Andrena_cineraria;2007;2;3;14;377;1;14;377;14377;0
Andrena;dorsata;469;Andrena_dorsata;2007;3;3;14;377;1;14;377;14377;0
Andrena;flavipes;472;Andrena_flavipes;2003;3;3;14;377;1;14;377;14377;0
Andrena;florea;473;Andrena_florea;2005;3;3;14;377;1;14;377;14377;0
Apis;mellifera;587;Apis_mellifera;2004;3;3;14;377;1;14;377;14377;0
Bombus;lapidarius;596;Bombus_lapidarius;2003;3;3;14;377;1;14;377;14377;0
Bombus;lucorum;597;Bombus_lucorum;2005;3;3;14;377;1;14;377;14377;0
Bombus;pascuorum;600;Bombus_pascuorum;2003;3;3;14;377;1;14;377;14377;0
Bombus;pratorum;602;Bombus_pratorum;2011;2;3;14,7;377,6;0,1;14;377;14377;0
Bombus;ruderarius;603;Bombus_ruderarius;2003;3;3;14;377;1;14;377;14377;0
Bombus;terrestris;608;Bombus_terrestris;2003;3;3;14;377;1;14;377;14377;0
Chalicodoma;ericetorum;721;Chalicodoma_ericetorum;2005;3;3;14;377;1;14;377;14377;0
Coelioxys;alata;726;Coelioxys_alata;2009;2;3;14;377;1;14;377;14377;0
Coelioxys;mandibularis;731;Coelioxys_mandibularis;2004;3;3;14;377;1;14;377;14377;0
Colletes;fodiens;619;Colletes_fodiens;2003;3;3;14;377;1;14;377;14377;0
Colletes;halophilus;620;Colletes_halophilus;2004;2;3;14,9;377,6;0,1;14;377;14377;0
Colletes;marginatus;622;Colletes_marginatus;2003;2;3;14;377;1;14;377;14377;0
Dasypoda;hirtipes;774;Dasypoda_hirtipes;2003;3;3;14;377;1;14;377;14377;0
Epeolus;tarsalis;538;Epeolus_tarsalis;2007;3;3;14;377;1;14;377;14377;0
Epeolus;variegatus;539;Epeolus_variegatus;2003;2;3;14;377;1;14;377;14377;0
Halictus;confusus;656;Halictus_confusus;2004;2;3;14;377;1;14;377;14377;0
Halictus;rubicundus;653;Halictus_rubicundus;2003;2;3;14,8;377,5;1;14;377;14377;0
Halictus;tumulorum;658;Halictus_tumulorum;2004;2;3;14;377;1;14;377;14377;0
Hylaeus;annularis;625;Hylaeus_annularis;2003;2;3;14;377;1;14;377;14377;0
Hylaeus;brevicornis;626;Hylaeus_brevicornis;2003;2;3;14,8;377,5;1;14;377;14377;0
Hylaeus;communis;628;Hylaeus_communis;2003;2;3;14,8;377,5;1;14;377;14377;0
Hylaeus;confusus;629;Hylaeus_confusus;2005;2;3;14;377;1;14;377;14377;0
Hylaeus;hyalinatus;636;Hylaeus_hyalinatus;2004;3;3;14;377;1;14;377;14377;0
Hylaeus;spilotus;632;Hylaeus_spilotus;2003;2;3;14;377;1;14;377;14377;0
Lasioglossum;calceatum;672;Lasioglossum_calceatum;2003;2;3;14;377;1;14;377;14377;0
Lasioglossum;leucozonium;662;Lasioglossum_leucozonium;2004;2;3;14;377;1;14;377;14377;0
Lasioglossum;morio;685;Lasioglossum_morio;2003;2;3;14;377;1;14;377;14377;0
