"Sp_div_obs.X_ArcGIS","Sp_div_obs.Y_ArcGIS","Sp_div_obs.Freq"
100500,423500,1
100500,433500,3
100500,434500,2
100500,435500,3
100500,453500,1
101500,410500,3
101500,420500,1
101500,421500,1
101500,423500,1
101500,434500,1
101500,436500,4
102500,398500,4
102500,408500,1
102500,428500,1
102500,431500,1
102500,434500,1
102500,435500,1
102500,436500,3
102500,437500,1
102500,442500,1
103500,391500,1
103500,416500,3
103500,435500,3
103500,436500,2
103500,440500,1
104500,384500,1
104500,399500,1
104500,403500,2
104500,436500,1
104500,453500,1
105500,403500,1
105500,410500,1
105500,418500,2
105500,424500,1
105500,433500,1
105500,436500,1
105500,440500,1
105500,444500,4
105500,447500,1
106500,404500,1
106500,417500,2
106500,418500,5
106500,419500,22
106500,420500,1
106500,437500,1
106500,438500,1
106500,448500,1
107500,399500,2
107500,418500,9
107500,430500,1
107500,437500,1
107500,438500,2
107500,443500,1
107500,473500,10
107500,474500,2
108500,402500,2
108500,403500,1
108500,404500,2
108500,417500,1
108500,418500,2
108500,438500,1
108500,474500,1
109500,401500,2
109500,402500,3
109500,418500,1
109500,419500,2
109500,435500,1
109500,446500,1
110500,403500,8
110500,404500,10
110500,405500,3
110500,420500,1
110500,421500,2
110500,424500,2
110500,425500,3
110500,461500,1
111500,392500,4
111500,404500,2
111500,405500,3
111500,407500,1
111500,422500,7
111500,423500,1
111500,424500,5
111500,435500,1
112500,396500,3
112500,404500,2
112500,407500,7
112500,418500,1
112500,419500,13
112500,420500,6
112500,421500,13
112500,424500,21
113500,414500,1
113500,415500,2
113500,419500,8
113500,422500,5
113500,424500,8
113500,425500,1
113500,436500,2
113500,455500,1
113500,461500,3
114500,382500,1
114500,391500,2
114500,394500,3
114500,418500,1
114500,419500,9
114500,424500,4
115500,374500,1
115500,381500,3
115500,390500,3
115500,391500,1
115500,396500,1
115500,413500,1
115500,419500,4
115500,423500,1
115500,445500,4
115500,460500,1
115500,471500,4
116500,397500,3
116500,398500,1
116500,418500,1
116500,419500,6
116500,465500,2
116500,473500,2
117500,388500,1
117500,393500,1
117500,418500,9
117500,419500,1
117500,424500,21
117500,425500,7
117500,426500,1
117500,472500,1
117500,473500,8
118500,415500,2
118500,424500,4
118500,454500,1
118500,469500,3
119500,380500,2
119500,401500,3
119500,407500,4
119500,408500,1
119500,415500,3
119500,425500,5
119500,434500,1
119500,445500,3
119500,456500,1
119500,467500,2
119500,468500,1
119500,474500,1
120500,424500,2
120500,455500,1
120500,456500,1
120500,468500,2
121500,398500,35
121500,411500,2
121500,421500,3
121500,446500,3
121500,458500,2
121500,467500,1
121500,468500,2
121500,470500,1
122500,397500,16
122500,398500,15
