"CELL_ID" "X_ArcGIS" "Y_ArcGIS" "ED_total_6Classes" "Suitability" "ED_total_ManNat" "NumClasses_VEG_LU" "Mean_Patch_areaKm2_Veg_LU" "LUVEG_1" "LUVEG_2" "LUVEG_3" "LUVEG_4" "LUVEG_5" "LUVEG_6" "LUVEG_7" "LUVEG_8" "LUVEG_20" "LUVEG_30" "LUVEG_60"
100383 100500 383499.999999996 0.01995 53.9375 0.00731893265565438 11 0.154280528499279 0.0625 1.5 0.5625 0.5625 1.4375 39.625 2.8125 0.625 50.8125 0.5625 1.4375
100384 100500 384500 0.0676 57.125 0.0208869814020029 11 0.0498016506258514 0 3.5625 2.5 1.75 6.625 23.5 9.625 1.75 37.625 0.625 12.375
100385 100500 385500.000000005 0.04855 36.375 0.0118375774260151 11 0.0833782342681889 0 1.625 2 1.6875 2.625 48.5 8.5 0.75 24.875 0.25 8.5
100386 100500 386499.999999996 0.0544 42.25 0.0190752972258917 10 0.0783997442876672 0 5.3125 2.3125 3.625 5.375 28.8125 15.5 1.4375 32 0.3125 5.3125
100387 100500 387500 0.05185 37.5 0.0164948453608247 12 0.0761903396149337 0.375 12.25 1.25 8.875 11.6875 29.125 8.9375 1.875 22.5625 0.1875 2.1875
100388 100500 388500.000000005 0.07 21.0625 0.0233136869679109 11 0.0483608495239181 3.5 11.625 1.1875 12.8125 14.125 29.5625 10.0625 3.75 8.8125 1.25 3.3125
100389 100500 389499.999999996 0.0712 16.875 0.0259948320413437 12 0.0506458534117752 1.375 13.4375 3.125 17.8125 12.75 30.5 12.0625 2.125 3.25 0.375 3.0625
100390 100500 390500.000000001 0.0541 25.6875 0.0143073047858942 11 0.0611356872294372 12.375 18.375 0.0625 13 11.1875 22.125 5 9.9375 7.125 0.5 0.3125
100391 100500 391500.000000005 0.0433 28.4375 0.0146242038216561 11 0.122631951147576 6.8125 4.0625 1.125 0.4375 5.125 44.4375 8.5 4.5625 23 1.8125 0.125
100392 100500 392499.999999996 0.03895 32.25 0.0133155792276964 10 0.0954091700747697 0 2.4375 2.375 0.75 5.3125 55.1875 4.4375 0.5 22.4375 0 5.875
100393 100500 393500.000000001 0.0525 53.625 0.0159228650137741 10 0.069709871031746 0 3.125 4.0625 1.4375 3.5625 29.625 7.5625 1.125 39.4375 0 9.25
100394 100500 394500.000000005 0.06285 58.25 0.0476049382716049 11 0.0786500205215375 0 2.4375 5.6875 2.5 2.5 15.5625 13.8125 0.1875 7.8125 0.125 48.6875
100395 100500 395499.999999996 0.05225 61.625 0.0187220939183988 11 0.0767139692650316 0 3.125 4.875 1.375 2.6875 15.0625 15.5 0.9375 37.5625 0.4375 18.25
100396 100500 396500.000000001 0.06585 53.875 0.0281318681318681 11 0.0695316270391319 0 2.875 6.5625 0.9375 2.125 17.75 16.125 1 26.1875 0.75 25.25
100397 100500 397500.000000006 0.08405 37.0625 0.0368932038834951 12 0.0378686677349593 0.0625 4.8125 13 1.8125 3.9375 17.4375 17.5 1.6875 1.25 0.25 27.25
100398 100500 398499.999999996 0.0487 51.8125 0.0167533380182713 11 0.0892334460203711 0 3.6875 2.5625 1.375 3.875 30.125 8.3125 0.9375 37.5625 0.5 10.3125
100399 100500 399500.000000001 0.03965 72.0625 0.0157174392935982 11 0.146221142990949 0 1.625 0.9375 1 1.6875 16.5 6.6875 0.6875 54.0625 0.75 9.8125
100400 100500 400500.000000006 0.03075 71.125 0.0112134977287476 11 0.189995213120213 0 3.4375 1.0625 0.1875 1.25 21.0625 4.125 1.5 63.625 1.0625 2.625
