"CELL_ID" "X_ArcGIS" "Y_ArcGIS" "Suitability" "Mean_Patch_areaKm2_BS" "NumClasses_Fragstat" "ED_total_Fragstat" "ED_total_ManNat"
100383 100500 383499.999999996 53.9375 0.2 5 0.0231 0.00731893265565438
100384 100500 384500 57.125 0.141046875 5 0.04595 0.0208869814020029
100385 100500 385500.000000005 36.375 0.158005952380952 5 0.03375 0.0118375774260151
100386 100500 386499.999999996 42.25 0.119722222222222 5 0.0319 0.0190752972258917
100387 100500 387500 37.5 0.111344537815126 6 0.02755 0.0164948453608247
100388 100500 388500.000000005 21.0625 0.798948863636364 6 0.03785 0.0233136869679109
100389 100500 389499.999999996 16.875 0.288333333333333 6 0.0324 0.0259948320413437
100390 100500 390500.000000001 25.6875 0.15979347826087 6 0.02405 0.0143073047858942
100391 100500 391500.000000005 28.4375 0.3755859375 6 0.0259 0.0146242038216561
100392 100500 392499.999999996 32.25 0.125 4 0.0234 0.0133155792276964
100393 100500 393500.000000001 53.625 0.0910625 4 0.03515 0.0159228650137741
100394 100500 394500.000000005 58.25 0.105269607843137 5 0.0475 0.0476049382716049
100395 100500 395499.999999996 61.625 0.10472049689441 5 0.0338 0.0187220939183988
100396 100500 396500.000000001 53.875 0.100290178571429 5 0.0437 0.0281318681318681
100397 100500 397500.000000006 37.0625 0.0740625 5 0.0399 0.0368932038834951
100398 100500 398499.999999996 51.8125 0.130916666666667 4 0.033 0.0167533380182713
100399 100500 399500.000000001 72.0625 0.113359375 5 0.03195 0.0157174392935982
100400 100500 400500.000000006 71.125 0.201875 5 0.0237 0.0112134977287476
100401 100500 401499.999999996 93.0625 0.473984375 5 0.0126 0.00820772640911969
100402 100500 402500.000000001 34.3125 0.304739583333333 5 0.01695 0.010012706480305
100403 100500 403500.000000006 67.5 0.75625 4 0.01235 0.00636713735558408
100404 100500 404499.999999996 84.25 0.43875 5 0.026 0.0131499312242091
100405 100500 405500.000000001 83.8125 0.287083333333333 5 0.0321 0.019707467282525
100406 100500 406500.000000006 70.9375 0.146212686567164 4 0.0521 0.0873978494623656
100407 100500 407499.999999996 76.125 0.196944444444444 5 0.03055 0.0234215167548501
100408 100500 408500.000000001 61.3125 0.21934375 5 0.01905 0.0150414276609305
100409 100500 409500.000000006 48.0625 0.11870652173913 6 0.0435 0.0400406091370558
100410 100500 410499.999999997 47.1875 0.111614583333333 3 0.032 0.0314319526627219
100411 100500 411500.000000001 54.875 0.129369565217391 4 0.03785 0.0413831258644537
100412 100500 412500.000000006 82.5625 0.838080357142857 5 0.0196 0.042093023255814
100413 100500 413499.999999997 100 1 1 0.004 NA
100414 100500 414500.000000001 90.0625 0.349895833333333 6 0.02005 0.0172384937238494
100415 100500 415500.000000006 91.9375 0.928333333333333 5 0.01725 0.00700507614213198
100416 100500 416499.999999997 61.0625 0.740416666666667 3 0.01415 0.00495262160454833
100417 100500 417500.000000002 89.0625 0.453125 5 0.0282 0.0162352941176471
100418 100500 418500.000000006 88.4375 0.890798611111111 6 0.0308 0.0177974870657798
100419 100500 419499.999999997 90 0.925 6 0.0142 0.0078815196394076
100420 100500 420500.000000002 79.5625 0.4659375 5 0.01745 0.00938694792353329
100421 100500 421500.000000006 97 0.975 5 0.01525 0.00959568733153639
100422 100500 422499.999999997 96.0625 0.9803125 4 0.00705 0.00514826498422713
100423 100500 423500.000000002 28.5 0.755714285714286 4 0.0093 0.00516290726817043
100424 100500 424500.000000007 69 0.119238095238095 5 0.03245 0.0345476477683957
100425 100500 425499.999999997 67.1875 0.230520833333333 6 0.0536 0.0595720399429387
100426 100500 426500.000000002 43.0625 0.0648723958333333 6 0.03185 0.0205663189269747
100427 100500 427500.000000007 63.375 0.0809855769230769 6 0.04915 0.0351587982832618
100428 100500 428499.999999997 59.375 0.0972222222222222 5 0.03295 0.0177029096477795
100429 100500 429500.000000002 65 0.138536585365854 6 0.0504 0.0445292014302741
100430 100500 430500.000000007 63.75 0.0877430555555556 5 0.05565 0.0674220963172805
100431 100500 431499.999999997 65.1875 0.136482456140351 4 0.0545 0.0774147217235188
100432 100500 432500.000000002 53.375 0.0859635416666667 4 0.0585 0.0705630026809651
100433 100500 433500.000000007 31.8125 0.108014880952381 5 0.04545 0.036068237205524
